id,dataset,question,answer,chart_type,image_path,bboxes,original_file
matsa_30bbea94,MATSA,What was the passenger load factor for Southwest in year 2015?,The passenger load factor for Southwest in the year 2015 was 83.6%.,line,images/MATSA/matsa_30bbea94.png,"[{""x1"": 3263.1818181818185, ""y1"": 955.0000000000138}]",MATSA_aitqa_170/input_ann_fixed.json
matsa_40d0bc3a,MATSA,"For Southwest Airlines, how much was the passenger revenue per available seat miles in 2018?","For Southwest Airlines, the passenger revenue per available seat mile in 2018 was 12.80 cents.",bar,images/MATSA/matsa_40d0bc3a.png,"[{""x1"": 769.090909090909, ""y1"": 580.9792284866467, ""x2"": 1332.7272727272725, ""y2"": 2670.0}]",MATSA_aitqa_172/input_ann_fixed.json
matsa_f479c0d4,MATSA,How much quantity of fuel was used by SouthWest in year 2017?,"SouthWest used 2,045 units of fuel in the year 2017.",bar,images/MATSA/matsa_f479c0d4.png,"[{""x1"": 600.0, ""y1"": 1777.5, ""x2"": 4059.953608950744, ""y2"": 2127.5}]",MATSA_aitqa_173/input_ann_fixed.json
matsa_ddcfbd7b,MATSA,what is the RPM of Southwest Airlines in 2014?,"The RPM of Southwest Airlines in 2014 was 108,035,133.",bar,images/MATSA/matsa_ddcfbd7b.png,"[{""x1"": 600.0, ""y1"": 847.9691485714284, ""x2"": 1220.0, ""y2"": 2700.0}]",MATSA_aitqa_174/input_ann_fixed.json
matsa_e680ceba,MATSA,how many operational seat miles did Southwest Airlines have in the year 2016?,"Southwest Airlines had 148,522,051 operational seat miles in the year 2016.",bar,images/MATSA/matsa_e680ceba.png,"[{""x1"": 2150.0, ""y1"": 472.16923499999973, ""x2"": 2769.9999999999995, ""y2"": 2700.0}]",MATSA_aitqa_175/input_ann_fixed.json
matsa_f98bf9c1,MATSA,what is the revenue passenger miles (RPMs) of southwest airlines in year 2015?,"The revenue passenger miles (RPMs) of Southwest Airlines in the year 2015 was 140,501,409.",bar,images/MATSA/matsa_f98bf9c1.png,"[{""x1"": 2882.727272727273, ""y1"": 731.0918717722302, ""x2"": 3446.3636363636365, ""y2"": 2670.0}]",MATSA_aitqa_176/input_ann_fixed.json
matsa_e5cf6139,MATSA,how many active full-time employees worked at Southwest in 2018?,"Southwest had 58,803 active full-time employees in 2018.",bar,images/MATSA/matsa_e5cf6139.png,"[{""x1"": 600.0, ""y1"": 465.00000000000006, ""x2"": 4142.857142857142, ""y2"": 815.0000000000005}]",MATSA_aitqa_178/input_ann_fixed.json
matsa_8dcba608,MATSA,By how much did United's domestic passenger revenue per available seat mile change between 2016 and 2017?,United's domestic passenger revenue per available seat mile decreased by 0.5% between 2016 and 2017.,bar,images/MATSA/matsa_8dcba608.png,"[{""x1"": 769.090909090909, ""y1"": 1210.1612903225805, ""x2"": 1481.0526315789473, ""y2"": 1323.0645161290327}]",MATSA_aitqa_18/input_ann_fixed.json
matsa_3a356e6f,MATSA,how much was the percentage change in maintenance and repair costs for Southwest Airlines in 2018?,The percentage change in maintenance and repair costs for Southwest Airlines in 2018 was 6.2%.,bar,images/MATSA/matsa_3a356e6f.png,"[{""x1"": 1935.2351097178685, ""y1"": 893.8732394366195, ""x2"": 2401.6927899686525, ""y2"": 1810.774647887324}]",MATSA_aitqa_182/input_ann_fixed.json
matsa_6006e06a,MATSA,how much depreciation and amortization did southwest take in 2018? ,Southwest took 0.75 in depreciation and amortization in 2018.,bar,images/MATSA/matsa_6006e06a.png,"[{""x1"": 769.090909090909, ""y1"": 581.392405063291, ""x2"": 2272.121212121212, ""y2"": 2670.0}]",MATSA_aitqa_183/input_ann_fixed.json
matsa_68e51b13,MATSA,How much was the current assets of SouthWest worth in 2018?,"The current assets of SouthWest were worth $5,028 in 2018.",bar,images/MATSA/matsa_68e51b13.png,"[{""x1"": 769.090909090909, ""y1"": 469.9999999999999, ""x2"": 2272.121212121212, ""y2"": 2670.0}]",MATSA_aitqa_184/input_ann_fixed.json
matsa_298fc63b,MATSA,what was the air traffic liability of SouthWest in 2018?,"SouthWest had an air traffic liability of 4,134 in 2018.",bar,images/MATSA/matsa_298fc63b.png,"[{""x1"": 600.0, ""y1"": 1631.6666666666665, ""x2"": 4142.857142857143, ""y2"": 2565.0}]",MATSA_aitqa_186/input_ann_fixed.json
matsa_4471124b,MATSA,How much is the total operating expenses of SouthWest in 2017?,"The total operating expenses of SouthWest in 2017 were $17,739.",bar,images/MATSA/matsa_4471124b.png,"[{""x1"": 600.0, ""y1"": 1215.0, ""x2"": 3950.218180987412, ""y2"": 1815.0}]",MATSA_aitqa_188/input_ann_fixed.json
matsa_e6b7639a,MATSA,What is the operating revenues of freight in 2018 for Southwest?,The operating revenues of freight for Southwest in 2018 was $175 million.,bar,images/MATSA/matsa_e6b7639a.png,"[{""x1"": 384.0, ""y1"": 470.45454545454555, ""x2"": 4087.731260772007, ""y2"": 1101.6233766233765}]",MATSA_aitqa_189/input_ann_fixed.json
matsa_13a58221,MATSA,How much increase in domestic passenger revenue was reported by United airlines in 2017 when compared to 2016 ?,United Airlines reported an increase in domestic passenger revenue of $885 million in 2017 compared to 2016.,bar,images/MATSA/matsa_13a58221.png,"[{""x1"": 769.090909090909, ""y1"": 725.9361702127659, ""x2"": 1332.7272727272725, ""y2"": 2307.6382978723404}]",MATSA_aitqa_19/input_ann_fixed.json
matsa_7cf4c2c5,MATSA,what was the operating revenue from passengers in 2018 for Southwest Airlines?,"The operating revenue from passengers for Southwest Airlines in 2018 was $20,455.",line,images/MATSA/matsa_7cf4c2c5.png,"[{""x1"": 684.5454545454545, ""y1"": 464.92429704397887}]",MATSA_aitqa_191/input_ann_fixed.json
matsa_68aec0b6,MATSA,In total how much was the operating expense incurred by Southwest Airlines in 2018?,"Southwest Airlines incurred an operating expense of $17,739 million in 2018.",bar,images/MATSA/matsa_68aec0b6.png,"[{""x1"": 769.090909090909, ""y1"": 470.00000000000017, ""x2"": 1735.3246753246754, ""y2"": 2670.0}]",MATSA_aitqa_192/input_ann_fixed.json
matsa_db43bb25,MATSA,What was the net income of SouthWest in the second quarter of 2018?,SouthWest's net income in the second quarter of 2018 was $733 million.,line,images/MATSA/matsa_db43bb25.png,"[{""x1"": 4180.363636363636, ""y1"": 2668.50000000001}]",MATSA_aitqa_193/input_ann_fixed.json
matsa_79cf5dfa,MATSA,How many pilots does American Airlines have for the mainline with contract amendable date as 2020 ?,"American Airlines has 13,200 pilots for the mainline with a contract amendable date of 2020.",bar,images/MATSA/matsa_79cf5dfa.png,"[{""x1"": 384.0, ""y1"": 1697.7272727272727, ""x2"": 3665.1428571428573, ""y2"": 2679.545454545455}]",MATSA_aitqa_196/input_ann_fixed.json
matsa_affc424d,MATSA,By what percentage did average fare per passenger increased for United's domestic passengers from 2016 to 2017?,The average fare per passenger for United's domestic passengers increased by 0.2% from 2016 to 2017.,bar,images/MATSA/matsa_affc424d.png,"[{""x1"": 769.090909090909, ""y1"": 2411.341463414634, ""x2"": 1481.0526315789473, ""y2"": 2513.780487804878}]",MATSA_aitqa_20/input_ann_fixed.json
matsa_fb837eda,MATSA,How many maintenance and Training technicians does American Airlines have for the mainline with contract amendable date as 2018?,American Airlines has 50 maintenance and training technicians for the mainline with a contract amendable date as of 2018.,bar,images/MATSA/matsa_fb837eda.png,"[{""x1"": 600.0, ""y1"": 465.00000000000006, ""x2"": 1485.7142857142858, ""y2"": 1398.3333333333335}]",MATSA_aitqa_200/input_ann_fixed.json
matsa_e42fbb42,MATSA,How many gallons of fuel was consumed by American Airlines in the year 2017 ?,"American Airlines consumed 4,352 gallons of fuel in the year 2017.",bar,images/MATSA/matsa_e42fbb42.png,"[{""x1"": 3184.6753246753246, ""y1"": 470.00000000000017, ""x2"": 4150.909090909091, ""y2"": 2670.0}]",MATSA_aitqa_202/input_ann_fixed.json
matsa_7fb4785d,MATSA,What was the average price per fuel Gallon in 2017 for American Airlines?,The average price per fuel gallon for American Airlines in 2017 was $1.73.,bar,images/MATSA/matsa_7fb4785d.png,"[{""x1"": 3204.0000000000005, ""y1"": 393.33333333333354, ""x2"": 4196.0, ""y2"": 2700.0}]",MATSA_aitqa_203/input_ann_fixed.json
matsa_53669328,MATSA,American Airline's fuel expenses contributed to what percentage of operating expenses in the year 2017 ?,American Airline's fuel expenses contributed to 19.7% of its operating expenses in the year 2017.,bar,images/MATSA/matsa_53669328.png,"[{""x1"": 3184.6753246753246, ""y1"": 644.7663551401868, ""x2"": 4150.909090909091, ""y2"": 2670.0}]",MATSA_aitqa_204/input_ann_fixed.json
matsa_0c4b3c1b,MATSA,In 2017 what was the fuel gallon consumption of American Airlines ?,"In 2017, American Airlines consumed 4,352 gallons of fuel.",line,images/MATSA/matsa_0c4b3c1b.png,"[{""x1"": 4066.363636363636, ""y1"": 461.3793103448024}]",MATSA_aitqa_205/input_ann_fixed.json
matsa_33757aa5,MATSA,Find the average fuel price per gallon for American Airlines in 2017.,The average fuel price per gallon for American Airlines in 2017 was $1.73.,bar,images/MATSA/matsa_33757aa5.png,"[{""x1"": 3184.6753246753246, ""y1"": 470.00000000000017, ""x2"": 4150.909090909091, ""y2"": 2670.0}]",MATSA_aitqa_206/input_ann_fixed.json
matsa_d97661ce,MATSA,which year had the lowest aircraft fuel expense for American Airlines between 2015 and 2017,2016 had the lowest aircraft fuel expense for American Airlines between 2015 and 2017.,line,images/MATSA/matsa_d97661ce.png,"[{""x1"": 2367.0, ""y1"": 2429.9249999999997}, {""x1"": 507.0, ""y1"": 434.92499999999956}, {""x1"": 4227.0, ""y1"": 515.9249999999996}]",MATSA_aitqa_208/input_ann_fixed.json
matsa_ec693591,MATSA,What is the percentage of fuel expenses over the total operating expenses for American Airlines in 2015?,The percentage of fuel expenses over the total operating expenses for American Airlines in 2015 was 21.4%.,bar,images/MATSA/matsa_ec693591.png,"[{""x1"": 769.090909090909, ""y1"": 470.00000000000017, ""x2"": 1735.3246753246754, ""y2"": 2670.0}]",MATSA_aitqa_209/input_ann_fixed.json
matsa_b530fae3,MATSA,By what percentage did number of passengers increase for United's Atlantic operations from 2016 to 2017?,The number of passengers for United's Atlantic operations increased by 0.5% from 2016 to 2017.,bar,images/MATSA/matsa_b530fae3.png,"[{""x1"": 2205.205479452055, ""y1"": 1777.5, ""x2"": 2436.8368617683686, ""y2"": 2127.5}]",MATSA_aitqa_21/input_ann_fixed.json
matsa_15e4043a,MATSA, How many Boeing 737-8 MAX aircrafts American Airlines had in 2017 ?,American Airlines had 4 Boeing 737-8 MAX aircrafts in 2017.,bar,images/MATSA/matsa_15e4043a.png,"[{""x1"": 600.0, ""y1"": 1600.1351351351352, ""x2"": 646.6165413533835, ""y2"": 1713.6486486486485}]",MATSA_aitqa_211/input_ann_fixed.json
